  0.3	 62.5	79	59	  2.4	 9.56
  1.3	 60.2	80	59	  4.7	 9.51
  2.3	 59.4	82	59	  7.1	 8.77
  3.3	 60.9	80	59	  9.3	 9.99
  4.3	 59.2	83	60	 11.4	 9.78
  5.3	 61.6	81	59	 13.4	10.80
  6.3	 58.5	84	62	 15.4	10.14
  7.3	 60.9	84	61	 17.5	11.70
  8.3	 58.4	83	63	 19.5	11.76
  9.3	 57.5	82	59	 21.4	11.90
 10.3	 57.5	80	57	 23.1	12.27
 11.4	 57.1	79	55	 24.9	 9.74
 12.4	 56.5	78	55	 27.1	11.89
 13.5	 59.3	78	54	 28.8	14.02
 14.5	 58.5	77	55	 30.8	14.72
 15.5	 58.7	78	55	 32.7	13.25
 16.6	 59.3	77	56	 34.8	14.43
 17.6	 60.2	79	55	 36.7	17.07
 18.6	 60.0	78	57	 38.6	13.31
 19.6	 62.2	80	56	 40.5	 7.32
 20.5	 61.6	79	58	 43.0	13.05
 21.5	 64.2	80	56	 45.1	11.30
 22.4	 62.5	79	58	 47.4	23.96
 23.4	 65.4	79	56	 52.9	11.98
 24.3	 62.2	80	59	 54.8	12.75
 25.3	 65.6	79	57	 56.9	11.52
 26.2	 61.7	80	59	 59.1	11.71
 27.2	 72.3	79	56	 60.9	12.62
 28.0	 69.8	76	59	 62.8	11.92
 28.9	 72.5	78	57	 64.8	11.50
 29.7	 67.9	77	58	 66.8	11.75
 30.6	 66.1	79	57	 68.8	10.64
 31.5	 67.4	77	57	 71.1	14.10
 32.4	 63.4	79	57	 73.2	 9.28
 33.3	 66.1	76	55	 75.8	12.02
 34.2	 62.5	77	56	 77.9	12.09
 35.2	 67.9	76	54	 80.0	13.66
 36.1	 64.4	76	57	 82.0	13.73
 37.0	 71.6	76	55	 83.8	13.02
 37.8	 65.8	77	58	 85.8	13.93
 38.7	 68.5	80	57	 87.7	13.29
 39.6	 61.3	79	60	 89.6	14.25
 40.6	 59.3	82	57	 91.5	15.38
 41.6	 66.2	79	57	 93.2	13.72
