  0.6	 86.7	67	48	  9.0	12.01
  1.3	 90.6	69	46	 18.7	15.34
  2.0	 92.3	74	49	 29.4	13.68
  2.6	 89.3	78	52	 39.2	12.90
  3.3	 73.3	81	53	 49.5	11.22
  4.1	 66.1	82	50	 59.3	10.89
  5.0	 67.0	83	48	 68.8	10.47
  5.9	 70.4	84	47	 79.0	12.35
  6.8	 71.1	83	48	 89.3	10.91
  7.6	 74.1	80	48	 99.0	12.39
  8.4	 76.7	76	48	108.9	11.05
  9.2	 83.1	70	47
  9.9	 86.0	67	46
 10.6	 90.6	67	47
 11.3	 92.3	69	48
 11.9	 91.2	73	49
 12.6	 81.7	77	51
 13.3	 67.9	81	51
 14.2	 66.5	84	49
 15.1	 66.8	88	49
 16.0	 69.0	89	50
 16.9	 70.9	88	51
 17.7	 74.1	86	52
 18.6	 77.1	80	51
 19.3	 83.6	76	50
 20.0	 86.2	76	51
 20.7	 90.4	79	52
 21.4	 89.0	83	54
 22.1	 65.6	87	55
 23.0	 62.1	87	49
 24.0	 63.2	84	47
 24.9	 65.1	82	47
 25.8	 68.3	82	46
 26.7	 71.6	79	46
 27.5	 74.4	74	46
 28.4	 76.9	70	45
 29.1	 82.9	67	45
 29.9	 87.5	64	45
 30.5	 90.1	64	46
 31.2	 93.2	68	47
 31.9	 94.9	73	50
 32.5	 92.3	78	52
 33.1	 75.8	81	53
 33.9	 61.2	82	50
 34.9	 64.1	81	46
 35.8	 67.7	84	46
 36.7	 70.1	84	48
 37.6	 71.8	82	49
 38.4	 75.0	78	49
 39.2	 79.8	73	48
 40.0	 83.1	68	48
 40.7	 84.7	67	47
 41.4	 90.4	71	48
 42.1	 91.2	75	50
 42.7	 88.2	78	51
 43.4	 81.1	79	52
 44.1	 57.0	80	51
 45.2	 63.8	82	45
 46.1	 65.9	84	47
 47.0	 67.9	86	48
 47.9	 72.3	85	48
 48.8	 75.8	82	49
 49.6	 79.8	77	49
 50.3	 82.0	72	49
 51.0	 86.0	72	48
 51.7	 90.6	76	50
 52.4	 89.8	82	53
 53.1	 82.0	87	55
 53.8	 63.4	88	54
 54.7	 66.8	86	49
 55.6	 70.1	86	48
 56.5	 71.6	84	49
 57.3	 75.0	79	48
 58.1	 79.4	74	48
 58.9	 82.9	70	47
 59.6	 87.2	66	46
 60.3	 88.2	63	46
 61.0	 92.6	66	46
 61.6	 94.6	71	48
 62.3	 94.6	77	51
 62.9	 87.7	81	54
 63.6	 68.2	84	54
 64.5	 67.9	84	49
 65.3	 70.8	83	49
 66.2	 72.3	84	49
 67.0	 74.3	81	49
 67.8	 77.3	76	49
 68.6	 80.4	72	48
 69.4	 85.2	67	47
 70.1	 86.5	65	47
 70.8	 90.9	68	47
 71.4	 91.7	73	49
 72.1	 90.1	77	51
 72.7	 84.3	81	52
 73.4	 77.1	82	52
 74.2	 83.6	83	50
 74.9	 80.0	84	52
 75.7	 76.3	84	52
 76.5	 77.1	83	52
 77.3	 79.2	80	52
 78.0	 80.6	76	51
 78.8	 82.9	73	50
 79.5	 88.8	70	49
 80.2	 91.2	69	49
 80.8	 91.7	72	49
 81.5	 92.6	77	51
 82.1	 88.0	83	53
 82.8	 76.1	87	54
 83.6	 64.7	87	52
 84.5	 63.6	83	49
 85.5	 67.9	81	47
 86.3	 71.1	81	47
 87.2	 74.3	80	48
 88.0	 78.3	77	48
 88.8	 80.9	74	49
 89.5	 86.2	71	49
 90.2	 88.2	68	49
 90.9	 92.0	70	49
 91.5	 94.0	75	50
 92.2	 93.8	81	53
 92.8	 81.3	85	55
 93.5	 68.8	87	54
 94.4	 68.6	84	51
 95.3	 70.8	81	49
 96.1	 73.3	80	48
 97.0	 74.8	77	48
 97.8	 78.1	73	48
 98.5	 81.7	69	47
 99.3	 86.0	65	46
100.0	 87.5	62	46
100.6	 91.2	64	46
101.3	 93.5	69	47
101.9	 92.3	74	50
102.6	 82.4	78	52
103.3	 76.9	80	51
104.1	 74.4	78	51
104.9	 73.3	77	50
105.7	 72.5	80	49
106.6	 74.6	82	49
107.4	 75.9	81	50
108.2	 78.1	77	50
108.9	 81.5	73	49
109.7	 85.7	69	50
110.4	 88.5	69	49
111.0	 90.9	73	49
111.7	 91.5	78	51
112.3	 89.3	83	53
113.0	 77.5	84	54
113.8	 73.7	83	52
114.6	 77.7	79	51
115.4	 78.9	76	50
116.1	 78.9	77	49
116.9	 80.4	77	48
117.6	 82.0	74	49
118.4	 83.8	71	48
119.1	 85.5	70	47
119.8	 88.8	67	47
120.5	 90.1	66	48
121.1	 93.5	68	48
121.8	 95.2	73	50
122.4	 92.6	80	53
123.1	 76.5	84	55
123.8	 66.4	84	53
124.7	 64.9	82	50
125.7	 71.3	83	49
126.5	 73.7	86	51
127.3	 77.5	84	52
128.1	 81.7	81	52
