  0.5	 89.3	85	65	  9.7	15.37
  1.1	 91.2	86	66	 19.8	14.91
  1.8	 92.6	87	67	 29.9	14.71
  2.4	 92.6	87	68	 39.9	15.63
  3.1	 93.2	88	68	 49.7	14.95
  3.7	 93.5	88	69	 59.5	14.05
  4.4	 92.3	89	69	 69.7	12.66
  5.0	 88.5	92	71	 79.7	15.42
  5.7	 83.8	93	72	 89.8	14.46
  6.4	 79.8	92	72	 99.7	14.70
  7.2	 80.4	91	71	109.7	17.08
  7.9	 82.2	89	70
  8.7	 83.3	89	68
  9.4	 85.7	88	67
 10.1	 87.7	87	66
 10.8	 90.9	86	66
 11.4	 92.9	86	67
 12.1	 94.6	87	67
 12.7	 95.8	87	68
 13.3	 95.5	87	69
 14.0	 95.8	89	69
 14.6	 93.5	89	71
 15.2	 91.5	93	72
 15.9	 87.0	95	73
 16.6	 81.7	95	74
 17.3	 81.5	94	74
 18.0	 82.0	92	72
 18.8	 83.8	91	70
 19.5	 87.0	89	68
 20.2	 90.4	88	66
 20.8	 92.6	88	66
 21.5	 94.9	88	67
 22.1	 95.2	88	68
 22.7	 96.5	89	69
 23.4	 95.5	90	70
 24.0	 95.2	91	71
 24.6	 91.2	92	73
 25.3	 86.7	95	74
 26.0	 78.7	95	74
 26.7	 75.0	96	73
 27.5	 74.1	93	73
 28.4	 76.1	90	70
 29.1	 79.4	87	68
 29.9	 82.9	83	65
 30.6	 86.5	81	62
 31.3	 90.1	80	61
 32.0	 93.2	81	62
 32.6	 95.2	81	62
 33.3	 96.2	82	64
 33.9	 97.1	83	64
 34.5	 96.5	84	65
 35.1	 94.9	86	67
 35.7	 92.9	89	69
 36.4	 88.8	90	70
 37.1	 86.0	89	71
 37.8	 87.0	88	70
 38.5	 88.8	87	68
 39.1	 90.9	86	68
 39.8	 93.5	86	67
 40.4	 96.2	85	66
 41.1	 98.7	85	67
 41.7	 99.3	86	68
 42.3	100.0	88	70
 42.9	 98.0	90	72
 43.5	 93.5	92	73
 44.1	 85.2	93	75
 44.8	 70.1	96	76
 45.7	 68.3	99	75
 46.6	 66.2	98	74
 47.5	 68.6	96	72
 48.3	 73.9	91	70
 49.2	 78.1	87	67
 49.9	 81.5	83	63
 50.7	 86.5	80	60
 51.4	 90.4	78	59
 52.0	 93.2	77	59
 52.7	 95.8	78	59
 53.3	 97.7	78	61
 53.9	 99.0	78	61
 54.5	 98.0	81	62
 55.1	 97.4	86	65
 55.7	 94.0	88	67
 56.4	 89.0	89	69
 57.0	 87.2	91	69
 57.7	 87.0	90	68
 58.4	 85.2	89	67
 59.1	 86.5	88	65
 59.8	 88.5	86	63
 60.5	 91.7	84	63
 61.2	 94.3	83	63
 61.8	 96.2	83	64
 62.4	 97.1	84	65
 63.0	 98.0	85	65
 63.6	 97.4	85	66
 64.3	 95.8	88	68
 64.9	 91.7	90	69
 65.5	 86.5	93	71
 66.2	 80.6	94	71
 67.0	 79.2	92	71
 67.7	 80.2	89	69
 68.5	 81.1	86	67
 69.2	 83.6	83	65
 69.9	 87.0	81	62
 70.6	 89.8	79	62
 71.3	 93.5	79	62
 71.9	 95.5	81	63
 72.6	 97.7	83	64
 73.2	 97.7	84	66
 73.8	 96.8	85	67
 74.4	 94.0	87	69
 75.1	 90.9	90	70
 75.7	 82.6	91	72
 76.4	 79.4	92	72
 77.2	 79.4	90	72
 78.0	 80.2	88	70
 78.7	 82.4	86	68
 79.4	 84.5	84	65
 80.1	 87.2	82	63
 80.8	 90.4	80	62
 81.5	 93.2	80	63
 82.1	 94.9	81	63
 82.8	 96.8	83	65
 83.4	 97.7	84	66
 84.0	 95.2	83	66
 84.6	 94.0	85	66
 85.3	 92.0	88	68
 85.9	 86.7	90	69
 86.6	 83.1	91	70
 87.3	 81.1	92	70
 88.1	 82.6	93	70
 88.8	 84.5	91	70
 89.5	 87.5	90	69
 90.2	 89.8	89	68
 90.9	 92.0	89	68
 91.5	 94.0	89	69
 92.2	 94.9	90	71
 92.8	 94.3	91	72
 93.4	 93.8	92	73
 94.1	 91.7	93	73
 94.7	 88.5	94	74
 95.4	 85.5	96	75
 96.1	 81.5	96	75
 96.8	 78.7	95	74
 97.6	 78.3	92	72
 98.4	 80.9	90	69
 99.1	 83.8	88	67
 99.8	 87.7	86	65
100.5	 91.2	84	65
101.2	 94.0	84	65
101.8	 95.5	85	66
102.4	 97.7	86	67
103.0	 98.4	87	68
103.7	 97.1	89	70
104.3	 93.8	90	71
104.9	 89.8	93	73
105.6	 87.0	95	74
106.3	 83.8	95	75
107.0	 82.2	94	74
107.7	 83.8	92	72
108.4	 86.0	89	70
109.1	 87.7	88	68
109.8	 90.9	87	65
110.5	 93.2	86	65
111.1	 95.8	86	65
111.7	 97.4	86	67
112.4	 97.7	86	68
113.0	 97.7	87	69
113.6	 97.1	88	69
114.2	 94.3	89	70
114.8	 89.0	91	71
115.5	 85.5	92	71
116.2	 79.8	91	71
117.0	 80.2	90	70
117.7	 82.6	86	67
118.4	 84.3	82	64
119.2	 87.2	81	62
119.8	 89.8	78	60
120.5	 93.5	77	60
121.2	 95.8	78	61
121.8	 97.7	78	62
122.4	 99.0	80	64
123.0	 99.0	82	65
123.6	 97.7	83	66
124.2	 95.5	85	68
124.8	 92.0	88	70
125.5	 87.2	90	71
126.2	 81.3	90	72
126.9	 80.2	89	71
127.7	 83.1	87	70
128.4	 84.7	86	68
